Atom,BasisSet,LightSpeed,Energy
Ne,zora-def2-qzvpp,548.143956,-93.227705157191
Ne,zora-def2-qzvpp,1096.287912,-93.216239907434
Ne,zora-def2-qzvpp,2192.575824,-93.213373999649
Ne,zora-def2-qzvpp,4385.151648,-93.212657547958
Ar,zora-def2-svp,34.25899725,-356.698438408981
Ar,zora-def2-svp,68.5179945,-322.258303025514
Ar,zora-def2-svp,137.035989,-314.103478160842
Ar,zora-def2-svp,274.071978,-312.091498799663
Ar,zora-def2-svp,548.143956,-311.590029765939
Ar,zora-def2-svp,1096.287912,-311.464754385602
Ar,zora-def2-svp,2192.575824,-311.433441220543
Ar,zora-def2-svp,4385.151648,-311.425613283266
He,zora-def2-svp,34.25899725,-2.83092296125
He,zora-def2-svp,68.5179945,-2.827765319885
He,zora-def2-svp,137.035989,-2.82697579204
He,zora-def2-svp,274.071978,-2.826778402623
He,zora-def2-svp,548.143956,-2.826729054801
He,zora-def2-svp,1096.287912,-2.826716717816
He,zora-def2-svp,2192.575824,-2.826713633568
He,zora-def2-svp,4385.151648,-2.826712862506
Kr,zora-def2-svp,34.25899725,-2132.592939405748
Kr,zora-def2-svp,68.5179945,-1465.749925691102
Kr,zora-def2-svp,137.035989,-1316.005024736851
Kr,zora-def2-svp,274.071978,-1280.93737404707
Kr,zora-def2-svp,548.143956,-1272.293339175574
Kr,zora-def2-svp,1096.287912,-1270.138487309505
Kr,zora-def2-svp,2192.575824,-1269.600120785086
Kr,zora-def2-svp,4385.151648,-1269.465550100885
Ne,zora-def2-svp,34.25899725,-96.872486856279
Ne,zora-def2-svp,68.5179945,-94.14251706597
Ne,zora-def2-svp,137.035989,-93.422245119939
Ne,zora-def2-svp,274.071978,-93.239517302815
Ne,zora-def2-svp,548.143956,-93.193663070442
Ne,zora-def2-svp,1096.287912,-93.182188642128
Ne,zora-def2-svp,2192.575824,-93.179319354014
Ne,zora-def2-svp,4385.151648,-93.178601989394
Ar,zora-def2-tzvp,34.25899725,-359.737447030312
Ar,zora-def2-tzvp,68.5179945,-322.537801131777
Ar,zora-def2-tzvp,137.035989,-314.217100822259
Ar,zora-def2-tzvp,274.071978,-312.189055434269
Ar,zora-def2-tzvp,548.143956,-311.684954712923
Ar,zora-def2-tzvp,1096.287912,-311.559102739759
Ar,zora-def2-tzvp,2192.575824,-311.527650408183
Ar,zora-def2-tzvp,4385.151648,-311.519787988934
He,zora-def2-tzvp,34.25899725,-2.836957833026
He,zora-def2-tzvp,68.5179945,-2.833659570743
He,zora-def2-tzvp,137.035989,-2.832835569554
He,zora-def2-tzvp,274.071978,-2.832629604337
He,zora-def2-tzvp,548.143956,-2.832578115222
He,zora-def2-tzvp,1096.287912,-2.83256524308
He,zora-def2-tzvp,2192.575824,-2.832562025053
He,zora-def2-tzvp,4385.151648,-2.832561220547
Kr,zora-def2-tzvp,34.25899725,-2410.345736698553
Kr,zora-def2-tzvp,68.5179945,-1474.10420429289
Kr,zora-def2-tzvp,137.035989,-1316.296633448106
Kr,zora-def2-tzvp,274.071978,-1281.362874024498
Kr,zora-def2-tzvp,548.143956,-1272.847936063921
Kr,zora-def2-tzvp,1096.287912,-1270.729969052544
Kr,zora-def2-tzvp,2192.575824,-1270.201066553718
Kr,zora-def2-tzvp,4385.151648,-1270.068876070685
Ne,zora-def2-tzvp,34.25899725,-97.197741164456
Ne,zora-def2-tzvp,68.5179945,-94.194731965776
